Date,drawing,watercolour,oil,acrylic,print,mixed,sculpture,photo,other
2012 Q2,176.9509319,171.037572,320.4618539,847.1567548,170.7862059,206.4685923,354.7995584,NA,35.83434207
2012 Q3,199.2583511,161.5573852,328.0005797,2152.899276,140.3875281,213.5471367,495.9591654,127.6720631,301.1715662
2012 Q4,176.1956396,173.82412,333.4827049,771.4449952,147.7060542,219.9043102,474.3545017,1703.338752,81.39953373
2013 Q1,195.6353803,159.9060858,334.8149964,937.0314122,153.8529166,226.8694338,510.0991962,585.7948725,108.7009109
2013 Q2,178.9911912,170.9138536,346.0051988,845.4482698,177.3934639,226.4543548,467.3934068,NA,89.47218443
2013 Q3,219.2365798,193.574303,336.1297099,1035.206569,144.4847396,192.4679244,624.5479353,NA,135.5418738
2013 Q4,183.367986,170.545823,336.7898484,850.6875865,159.4727347,260.918308,396.0192495,151.2139776,130.075059
2014 Q1,208.6041061,207.5629272,344.4777356,850.5837599,172.4402137,213.9848381,584.1252868,NA,132.7717354
2014 Q2,184.255443,177.7964967,352.8811749,759.2066669,169.7385261,232.6578583,503.6753622,NA,163.0871849
2014 Q3,188.8425238,172.0588229,334.9143168,771.4691928,169.6495837,267.0443519,552.7368536,NA,85.8716006
2014 Q4,211.8913501,210.1157896,328.1771321,854.004788,175.0747695,230.9041858,543.8220656,125.2267937,151.3081501
2015 Q1,197.8938211,197.3956817,374.0602052,822.7063465,162.5701465,213.3718865,546.8296794,NA,173.1859258
2015 Q2,245.755219,170.5888881,336.2893122,935.6591351,179.3427957,206.4996483,469.6410795,167.7851292,169.4053361
2015 Q3,176.6335651,177.0387357,353.2606661,1217.170628,164.8219731,245.0847885,476.0075867,133.5332086,340.5400369
2015 Q4,209.004134,177.739809,322.9707508,646.0341146,171.2625167,237.0053257,508.4129811,NA,102.544319
