Date,Median_Index,Fisher_Index,Hedonic_full,Adjacent_1y,Adjacent_2y,Rolling_5y,Repeat Sales,pseudo-RS1,pseudo-RS2
2011 Q3,166.6666667,553.802878,205.1564984,192.2529537,254.2575362,229.2523023,527.7632989,293.2882054,259.9769112
2011 Q4,155.5555556,490.9943548,196.3365134,191.2985432,249.4230336,228.1751775,587.1293259,297.0941936,261.2856783
2012 Q1,166.6666667,474.7565725,195.4823591,189.217075,247.4198078,223.4415566,653.73954,316.964227,271.5983885
2012 Q2,144.4444444,625.1881035,206.2092479,198.603405,265.020064,239.6024982,534.7542635,299.6715792,253.452608
2012 Q3,100,589.8258824,208.8531879,199.5874373,264.116759,238.228989,602.2891352,319.6709564,256.1360863
2012 Q4,177.7777778,748.3120986,211.3955199,207.0652987,270.5939978,242.2796728,611.1269205,310.902836,261.9929894
2013 Q1,169.4444444,701.2941213,215.2382688,208.0955972,272.9139969,246.683703,597.3551665,305.9989891,263.3052015
2013 Q2,200,700.87846,228.3241129,223.8483499,289.011421,259.6906741,573.60042,299.5601052,251.4946514
2013 Q3,88.88888889,475.5415953,217.266874,215.7825079,275.9561313,252.1138551,683.9412996,314.7839651,269.7267182
2013 Q4,266.6666667,533.383,221.7115347,214.0626871,280.4329427,252.4843232,659.7301227,315.8289409,272.9207773
2014 Q1,333.3333333,698.7635466,237.3305175,230.3473162,300.2461346,269.3528439,738.4982719,306.6780008,263.7870844
2014 Q2,133.3333333,419.6441711,228.6632781,223.0426792,291.6251593,262.0150319,672.2255417,324.7083917,277.1667346
2014 Q3,111.1111111,349.3283248,222.1959581,212.9651126,279.6522175,253.8287232,763.4300731,334.3834943,280.3974206
2014 Q4,200,490.4791833,230.3807054,222.9028518,292.2584568,263.4185489,672.0317917,314.2063432,266.375509
2015 Q1,177.7777778,500.7376944,230.6069665,220.7554047,289.4513999,260.8986689,876.0514674,349.8908951,285.7275698
2015 Q2,161.1111111,509.6578673,220.5838512,215.3421082,281.291898,252.3695803,713.6459525,311.5564471,260.9555834
2015 Q3,122.2222222,699.7427499,227.1380052,218.0098156,283.6867719,255.4869874,704.4938646,308.9207935,284.9135018
2015 Q4,200,586.0041578,218.2131314,213.8987636,280.5068901,250.6222055,647.4429829,285.850974,253.3547952
